Player,D_PER
Victor Wembanyama,4.4
Anthony Davis,4.4
Domantas Sabonis,3.9
Nikola Jokic,3.9
Giannis Antetokounmpo,3.7
Rudy Gobert,3.6
Jusuf Nurkic,3.4
Luka Doncic,3.3
Bam Adebayo,3.3
Evan Mobley,3.2
Jalen Duren,3.1
Nic Claxton,3.1
Jayson Tatum,3.1
Chet Holmgren,2.9
Nikola Vucevic,2.9
Jarrett Allen,2.9
Scottie Barnes,2.9
LeBron James,2.8
Alperen Sengun,2.8
Josh Hart,2.7
Kevin Durant,2.7
Shai Gilgeous-Alexander,2.6
Kawhi Leonard,2.5
Paolo Banchero,2.5
Ivica Zubac,2.5
Clint Capela,2.5
Kristaps Porzingis,2.4
Jabari Smith Jr.,2.4
Isaiah Hartenstein,2.4
Miles Bridges,2.4
Karl-Anthony Towns,2.4
Jonas Valanciunas,2.4
Walker Kessler,2.4
Andre Drummond,2.4
John Collins,2.4
Jaren Jackson Jr.,2.4
Myles Turner,2.4
Tobias Harris,2.3
Daniel Gafford,2.2
Nick Richards,2.2
James Harden,2.2
Kyle Kuzma,2.1
Michael Porter Jr.,2.1
Jaylen Brown,2.1
Paul George,2.1
P.J. Washington,2.1
Anthony Edwards,2.1
Ausar Thompson,2.1
Al Horford,2.0
Deni Avdija,2.0
